,0,1
0,mean_diskIO_time------max_disk_io_time,0.8142565976
1,max_disk_io_time------mean_diskIO_time,0.8142565976
2,max_disk_io_time------cpi,0.7246147407
3,max_disk_io_time------max_cpu_usage,0.6911354597
4,max_disk_io_time------mai,0.6361063048
5,max_disk_io_time------meanCPUUsage,0.6253495496
6,mean_diskIO_time------cpi,0.6250420019
7,max_disk_io_time------sampled_cpu_usage,0.624781178
8,max_disk_io_time------AssignMem,0.6061962453
9,max_disk_io_time------CMU,0.5995468284
10,max_disk_io_time------max_mem_usage,0.5976815838
11,max_disk_io_time------page_cache_usage,0.5914122142
12,max_disk_io_time------unmapped_cache_usage,0.5907201596
13,mean_diskIO_time------max_cpu_usage,0.5846144856
14,mean_local_disk_space------cpi,0.5812205764
15,max_disk_io_time------numberOfMachineId,0.5460845206
16,max_disk_io_time------numberOfTaskIndex,0.5460845206
17,mean_local_disk_space------max_cpu_usage,0.5210270097
18,mean_diskIO_time------mai,0.516405988
19,mean_diskIO_time------meanCPUUsage,0.5027272956
20,mean_diskIO_time------sampled_cpu_usage,0.5022160395
